IDNUMBER	Mol Wt
F0401-0096	122.0367794
F3329-0408	126.0251694
F0820-0406	130.0313174
F2145-0077	130.0418648
F2135-0600	130.0564695
F3145-1960	137.0476785
F6217-0072	137.084064
F9995-2527	143.0946287
F0832-0168	144.0469674
F2135-0601	144.0721196
F2158-1549	147.0684139
F0266-1247	151.0204183
F2113-0216	151.0204183
F6217-0241	151.099714
F3143-0088	152.0408194
F1906-0018	153.0360684
F1906-0019	153.0360684
F2182-0142	154.0088506
F1906-0021	154.0313174
F1967-1182	154.0564695
F1716-0347	155.0040996
F0192-0845	155.0483472
F1967-0506	156.0357341
F2135-0898	156.0357341
F2199-0033	156.0357341
F2135-0332	158.0513841
F0820-0346	158.0626175
F0192-0846	160.0095193
F0266-0774	161.0476785
F0452-5409	161.0476785
F0722-0740	161.0476785
F0176-0161	162.0251694
F0400-0013	162.0680796
F3096-1722	163.0633285
F0465-0072	164.0408194
F1727-0219	164.0408194
F1791-0318	164.0408194
F3068-0233	164.0408194
F6217-0001	164.0585775
F1905-6468	165.0226065
F2147-0544	167.0265664
F2158-1585	167.0517185
F2158-1587	167.0517185
F2158-1588	167.0517185
F2124-0712	167.9993486
F9995-2610	168.0245007
F1609-0569	168.0357341
F1967-1716	168.0357341
F3143-0002	168.0357341
F2158-1586	168.0469674
F2147-0445	168.0721196
F1967-0761	169.030983
F1900-0022	170.0037652
F1118-0054	170.0313976
F3143-0010	170.0313976
F2135-0908	170.0513841
F2135-0910	170.0513841
F2199-0035	170.0513841
F2189-0240	171.1259288
F8880-2420	171.1259288
F3351-0490	172.0436763
F2739-0006	172.0670342
F2739-0008	172.0670342
F2739-0009	172.0670342
F2189-0196	172.1000484
F6217-0091	173.084064
F2147-0930	174.0714509
F0347-1871	175.0633285
F0911-2943	175.0633285
F0920-4749	175.0633285
F9995-1273	175.9431847
F0176-0038	176.0174972
F2147-0320	176.0408194
F2184-0187	176.0408194
F8885-1518	176.0408194
F2135-0440	176.094963
F0264-0008	177.0360684
F0346-0915	177.0425931
F0896-0193	177.0425931
F0914-0515	177.0425931
F2158-1735	177.0425931
F1967-1032	178.020084
F3099-6031	178.020084
F1324-0059	178.0313174
F1076-0015	178.0564695
F3099-6687	178.0564695
F1638-0067	178.0629942
F1900-0018	178.0629942
F2135-0159	179.015333
F2135-0160	179.015333
F2135-0161	179.015333
F1736-0511	179.0946287
F0920-1420	179.9993486
F2135-0842	180.0357341
F0918-7159	180.0469674
F1739-0095	180.0469674
F9995-0053	180.9930561
F2147-0546	181.0422164
F2135-0443	181.0561352
F0820-0242	182.026232
F1219-1492	182.026232
F0777-0562	182.0513841
F3249-0159	182.0513841
F2158-1583	182.0626175
F0192-0855	182.0843983
F2147-0438	182.0877696
F2158-1548	183.0450916
F1967-0778	183.0466331
F0820-0460	184.0030518
F1967-0659	184.0306487
F0192-0840	184.0636629
F1371-0161	184.0670342
F3000-0106	184.1000484
F3143-0092	186.0018471
F2739-0012	186.0826843
F2739-0060	186.0826843
F2158-1582	186.9970961
F1967-0657	188.0408194
F1967-1047	188.0408194
F6217-0286	188.094963
F0192-0762	189.0360684
F1967-0979	189.0360684
F1967-1066	189.0360684
F0910-1922	189.0789786
F2148-0243	189.0789786
F1704-0074	190.0313174
F1058-0300	190.054241
F2135-0844	190.0564695
F2964-3849	190.0564695
F0896-0197	191.015333
F3188-0050	191.0382566
F2161-0059	191.0404851
F0016-0040	191.0582432
F6217-0223	191.0582432
F0016-0061	192.0245007
F0165-0164	192.0357341
F0227-0158	192.0357341
F0829-0012	192.0357341
F2146-0001	192.0357341
F2146-0002	192.0357341
F2146-0003	192.0357341
F0311-0776	192.0469674
F0486-2338	192.0721196
F0348-3289	193.030983
F0331-0130	193.0673685
F1736-0564	193.1102787
F1967-0516	194.0149986
F6217-0300	194.0513841
F0701-0030	194.1055277
F6215-0079	194.1055277
F1943-0004	195.0087061
F2141-1293	195.0087061
F1967-0777	195.0466331
F2135-0891	195.9918184
F2146-0007	196.0106621
F2146-0008	196.0106621
F2135-0060	196.0418821
F0081-0015	196.0670342
F0795-0021	196.0670342
F1967-1748	196.0670342
F1930-0008	196.0735589
F0021-0036	197.1051933
F1900-0019	198.0083718
F0777-0656	198.0099132
F1065-0188	198.0429274
F2111-0059	198.0939176
F2147-1127	198.9836342
F2145-0075	200.0255633
F0814-0016	200.0296432
F1574-0049	200.0837296
F1142-6976	201.0360684
F0777-0008	201.0789786
F1637-0007	201.0789786
F2135-0773	201.0789786
F3205-0019	201.0789786
F3205-0020	201.0789786
F6217-0096	201.1153641
F1967-0518	201.9855283
F1967-1068	202.0564695
F9995-0305	202.0564695
F0675-0052	202.0742276
F0675-0422	202.0742276
F0913-1823	203.0582432
F9995-2651	203.0582432
F3369-0640	203.0946287
F1204-0014	204.0357341
F2135-0911	204.0357341
F0863-0286	204.0469674
F1943-0018	204.0534921
F6300-0033	204.0534921
F2135-0841	204.0721196
F0016-0111	204.0898776
F0016-0143	204.0898776
F1065-0501	204.0898776
F6217-0021	204.0898776
F0400-0047	204.1150298
F1776-0055	205.0197496
F1967-0512	205.030983
F1967-0513	205.030983
F1967-0514	205.030983
F2184-0190	205.030983
F0268-4713	205.0539067
F0021-0027	205.0738932
F0856-0038	205.0738932
F1107-0022	205.0738932
F3026-0001	205.0738932
F1967-1056	206.0313976
F0331-0213	206.0513841
F0807-0541	206.0513841
F2146-0014	206.0513841
F2147-0391	206.0513841
F2147-0444	206.0513841
F2147-0566	206.0513841
F2739-0063	206.0513841
F3284-7992	206.0579088
F1219-1523	206.0626175
F2135-0688	206.0626175
F0848-0393	206.0691422
F0183-0141	206.0877696
F0227-0154	206.0877696
F1408-0175	207.0466331
F2739-0048	207.0466331
F2146-0004	208.0306487
F2146-0005	208.0306487
F2146-0006	208.0306487
F2146-0022	208.0306487
F2135-0692	208.0418821
F2135-0845	208.0470476
F1097-0148	208.0670342
F1923-0025	208.0782676
F9995-0016	208.1211778
F0777-0974	209.0488213
F1107-0080	209.0488213
F6217-0124	209.0652202
F0418-0008	209.0952974
F5791-1430	210.0462987
F2135-0061	210.0575321
